page_index,predicted_label,text_source,text_chars,text_empty,fused_giay_gui_tien_tiet_kiem,fused_the_tiet_kiem_ban_sao,fused_to_trinh_uu_dai_lai_suat,fused_giay_to_chung_minh_cu_tru,img_giay_gui_tien_tiet_kiem,img_the_tiet_kiem_ban_sao,img_to_trinh_uu_dai_lai_suat,img_giay_to_chung_minh_cu_tru
0,to_trinh_uu_dai_lai_suat,empty,0,True,0.924383,0.978111,1.0,0.0,639.6799,645.8042,648.2993,534.3116
1,to_trinh_uu_dai_lai_suat,empty,0,True,0.844327,0.702971,1.0,0.0,701.9247,686.5353,718.8728,610.003
2,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.980024,0.286283,0.0,533.6724,532.2671,483.4628,463.323
3,the_tiet_kiem_ban_sao,empty,0,True,0.708191,1.0,0.420477,0.0,512.5982,536.3153,489.2139,455.0392
4,the_tiet_kiem_ban_sao,empty,0,True,0.0,1.0,0.348557,0.055044,639.4639,762.9093,682.4916,646.2589
5,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.714708,0.446506,0.0,564.5825,539.7314,516.369,477.475
6,the_tiet_kiem_ban_sao,empty,0,True,0.8301,1.0,0.840323,0.0,569.451,585.6182,570.4238,490.4617
7,the_tiet_kiem_ban_sao,empty,0,True,0.524226,1.0,0.707441,0.0,493.5919,539.9543,511.4455,442.5081
8,the_tiet_kiem_ban_sao,empty,0,True,0.28783,1.0,0.210675,0.0,683.8276,745.679,677.1267,658.8298
9,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.661202,0.567947,0.0,706.5748,673.1253,663.9182,607.8447
10,to_trinh_uu_dai_lai_suat,empty,0,True,0.995614,0.802437,1.0,0.0,647.4437,622.8275,648.0026,520.5748
11,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.811415,0.355725,0.0,719.1877,705.8026,673.4593,648.2111
12,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.534146,0.583731,0.0,701.3139,651.9816,657.2325,595.4174
13,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.901722,0.99535,0.0,651.0881,638.3522,650.4855,521.4973
14,to_trinh_uu_dai_lai_suat,empty,0,True,0.613402,0.833305,1.0,0.0,623.7916,646.8569,664.3411,559.4531
15,to_trinh_uu_dai_lai_suat,empty,0,True,0.838891,0.649192,1.0,0.0,629.1692,601.678,652.5171,507.5972
16,to_trinh_uu_dai_lai_suat,empty,0,True,0.868473,0.672539,1.0,0.0,631.9181,595.7352,656.207,471.538
17,the_tiet_kiem_ban_sao,empty,0,True,0.55624,1.0,0.0,0.222934,672.285,696.199,642.3096,654.3234
18,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.729254,0.0,0.061802,632.9618,622.0876,592.7981,595.2803
19,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.880403,0.275435,0.0,506.5229,502.2723,480.7716,470.9825
20,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.751036,0.0,0.447921,463.9578,458.2573,441.0608,451.3169
21,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.55789,0.541441,0.0,702.1733,652.7976,650.9606,590.4915
22,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.813463,0.935602,0.0,669.972,646.0045,661.6978,541.4858
23,to_trinh_uu_dai_lai_suat,empty,0,True,0.738238,0.816457,1.0,0.0,641.7288,649.2719,666.972,570.5363
24,to_trinh_uu_dai_lai_suat,empty,0,True,0.822709,0.655571,1.0,0.0,629.0461,603.302,656.3542,502.3246
25,to_trinh_uu_dai_lai_suat,empty,0,True,0.855381,0.672226,1.0,0.0,629.7285,595.0262,657.1295,467.6599
26,the_tiet_kiem_ban_sao,empty,0,True,0.413112,1.0,0.243027,0.0,663.4803,697.6068,653.5902,639.4586
27,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.751286,0.285975,0.0,608.9402,594.822,568.4086,552.1752
28,the_tiet_kiem_ban_sao,empty,0,True,0.929288,1.0,0.276495,0.0,490.3572,492.4601,470.9431,462.7202
29,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.666073,0.0,0.593791,468.7946,460.6331,444.3538,458.8665
30,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.492833,0.453709,0.0,710.9583,659.3861,655.4077,609.2715
31,the_tiet_kiem_ban_sao,empty,0,True,0.0,1.0,0.247551,0.141657,532.7417,633.3906,557.6575,546.9993
32,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.861795,0.942179,0.0,658.7476,641.8528,651.6792,536.5031
33,to_trinh_uu_dai_lai_suat,empty,0,True,0.784845,0.890772,1.0,0.0,634.6223,644.9835,655.6677,557.8522
34,to_trinh_uu_dai_lai_suat,empty,0,True,0.841885,0.647781,1.0,0.0,632.1927,602.7805,656.1516,504.6235
