page_index,mode,predicted_label,predicted_label_2,predicted_label_image,predicted_label_fused,predicted_label_text,predicted_label_base,text_source,query_text_kind,text_chars,text_empty,vlm_keywords_snippet,top1_score,top1_label_by_score,top2_score,margin_top1_top2,margin_norm,z_gap_top1_top2,label_score_agg,label_score_topk,score_style,fused_giay_gui_tien_tiet_kiem,fused_the_tiet_kiem_ban_sao,fused_to_trinh_uu_dai_lai_suat,fused_to_trinh_lai_suat_uu_dai_khach_hang,fused_giay_to_chung_minh_cu_tru,fused_so_quy,fused_liet_ke_giao_dich,fused_giay_de_nghi_tiep_quy,fused_giay_de_nghi_phong_toa,fused_giay_phong_toa_tam_khoa_tk,fused_giay_go_tam_khoa_tai_khoan,fused_giay_rut_tien,fused_giay_rut_tien_tiet_kiem,fused_giay_nop_chuyen_tien,fused_lenh_chuyen_tien,fused_giay_de_nghi_hoan_quy,fused_blank,img_giay_gui_tien_tiet_kiem,img_the_tiet_kiem_ban_sao,img_to_trinh_uu_dai_lai_suat,img_to_trinh_lai_suat_uu_dai_khach_hang,img_giay_to_chung_minh_cu_tru,img_so_quy,img_liet_ke_giao_dich,img_giay_de_nghi_tiep_quy,img_giay_de_nghi_phong_toa,img_giay_phong_toa_tam_khoa_tk,img_giay_go_tam_khoa_tai_khoan,img_giay_rut_tien,img_giay_rut_tien_tiet_kiem,img_giay_nop_chuyen_tien,img_lenh_chuyen_tien,img_giay_de_nghi_hoan_quy,img_blank,txt_giay_gui_tien_tiet_kiem,txt_the_tiet_kiem_ban_sao,txt_to_trinh_uu_dai_lai_suat,txt_to_trinh_lai_suat_uu_dai_khach_hang,txt_giay_to_chung_minh_cu_tru,txt_so_quy,txt_liet_ke_giao_dich,txt_giay_de_nghi_tiep_quy,txt_giay_de_nghi_phong_toa,txt_giay_phong_toa_tam_khoa_tk,txt_giay_go_tam_khoa_tai_khoan,txt_giay_rut_tien,txt_giay_rut_tien_tiet_kiem,txt_giay_nop_chuyen_tien,txt_lenh_chuyen_tien,txt_giay_de_nghi_hoan_quy,txt_blank,pos_start,pos_mid,pos_end,pos_none,prob_giay_gui_tien_tiet_kiem,prob_the_tiet_kiem_ban_sao,prob_to_trinh_uu_dai_lai_suat,prob_to_trinh_lai_suat_uu_dai_khach_hang,prob_giay_to_chung_minh_cu_tru,prob_so_quy,prob_liet_ke_giao_dich,prob_giay_de_nghi_tiep_quy,prob_giay_de_nghi_phong_toa,prob_giay_phong_toa_tam_khoa_tk,prob_giay_go_tam_khoa_tai_khoan,prob_giay_rut_tien,prob_giay_rut_tien_tiet_kiem,prob_giay_nop_chuyen_tien,prob_lenh_chuyen_tien,prob_giay_de_nghi_hoan_quy,prob_blank
0,fused,liet_ke_giao_dich,start,liet_ke_giao_dich,liet_ke_giao_dich,blank,liet_ke_giao_dich,vlm,vlm_blank_characteristic,0,True,blank,0.794674,liet_ke_giao_dich,0.590493,0.204182,0.41276,1.87649,topk_mean,3,colpali,0.470192,0.564569,0.472981,0.339984,0.33901,0.590493,0.794674,0.496553,0.462297,0.523725,0.506828,0.551306,0.44403,0.540436,0.507251,0.498517,0.3,448.4921,458.4799,410.3331,395.1815,355.0637,488.5769,585.1653,422.6694,415.3172,440.3869,431.4703,453.5518,443.5399,449.2053,427.5234,423.0254,215.769,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.780622,0.371294,0.688484,0.3,0.057076,0.062725,0.057235,0.050108,0.050059,0.064372,0.078954,0.058601,0.056627,0.060215,0.059206,0.061899,0.055602,0.06123,0.059231,0.058716,0.048144
1,fused,liet_ke_giao_dich,end,liet_ke_giao_dich,liet_ke_giao_dich,blank,liet_ke_giao_dich,vlm,vlm_blank_characteristic,0,True,blank,0.794674,liet_ke_giao_dich,0.623325,0.17135,0.346389,1.595608,topk_mean,3,colpali,0.497109,0.594088,0.478216,0.373931,0.364247,0.623325,0.794674,0.513602,0.481717,0.546255,0.534794,0.568739,0.469972,0.557765,0.523675,0.507493,0.3,441.597,452.0395,396.0082,396.0082,354.9106,481.3092,554.1611,413.077,407.4694,432.0196,426.461,441.6477,436.5729,437.6023,417.235,409.4879,214.6409,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.747507,0.371346,0.777574,0.3,0.057529,0.063388,0.056452,0.050862,0.050372,0.065268,0.077467,0.058486,0.05665,0.060427,0.059738,0.061801,0.055989,0.061126,0.059078,0.058129,0.047237
2,fused,so_quy,start,so_quy,so_quy,blank,so_quy,vlm,vlm_blank_characteristic,0,True,blank,0.773526,so_quy,0.657419,0.116107,0.245196,1.086427,topk_mean,3,colpali,0.495168,0.5999,0.493627,0.386187,0.365316,0.773526,0.657419,0.529184,0.477966,0.558491,0.566976,0.568441,0.458901,0.556019,0.512551,0.53032,0.3,476.4843,491.9929,435.8919,434.2209,383.4178,600.4304,527.7339,454.6212,438.2581,473.5342,478.0284,477.4095,466.1617,472.2249,445.0173,454.5396,229.6791,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.780622,0.361827,0.631619,0.3,0.057086,0.063389,0.056998,0.051192,0.050134,0.075408,0.067142,0.059061,0.056112,0.060818,0.061336,0.061426,0.055053,0.060667,0.058087,0.059128,0.046964
3,fused,blank,none,blank,blank,blank,blank,vlm,vlm_blank_characteristic,0,True,blank,1.0,blank,0.436109,0.563891,0.563891,2.840681,topk_mean,3,colpali,0.245287,0.416509,0.289012,0.0,0.398775,0.434135,0.332261,0.436109,0.239186,0.318173,0.311018,0.324821,0.095833,0.279201,0.40322,0.378671,1.0,395.5557,414.5294,389.3401,352.743,416.8778,424.1848,399.8123,418.4435,383.4565,396.3469,394.9295,397.1422,369.2708,388.6261,411.6304,406.8086,491.4228,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.371753,0.0,0.428489,1.0,0.05196,0.061664,0.054283,0.040658,0.06058,0.062761,0.056682,0.062885,0.051644,0.055889,0.05549,0.056262,0.044747,0.053753,0.06085,0.059374,0.110519
4,fused,giay_de_nghi_tiep_quy,start,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,blank,giay_de_nghi_tiep_quy,vlm,vlm_blank_characteristic,0,True,blank,0.80448,giay_de_nghi_tiep_quy,0.775562,0.028918,0.052663,0.216669,topk_mean,3,colpali,0.447007,0.522429,0.487511,0.383226,0.255362,0.445863,0.434507,0.80448,0.471475,0.514495,0.506491,0.549078,0.428248,0.547222,0.478597,0.775562,0.3,501.6824,501.6644,479.4067,479.4067,348.7544,472.3956,451.4663,683.3736,482.0418,500.7781,495.6248,521.3497,500.4069,521.8506,472.5759,663.9228,232.6527,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.780622,0.324502,0.471504,0.3,0.05576,0.060128,0.058064,0.052314,0.046035,0.055696,0.055067,0.07972,0.057141,0.059653,0.059177,0.061752,0.054723,0.061637,0.057549,0.077448,0.048137
5,fused,giay_de_nghi_tiep_quy,end,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,blank,giay_de_nghi_tiep_quy,vlm,vlm_blank_characteristic,0,True,blank,0.80448,giay_de_nghi_tiep_quy,0.797499,0.00698,0.013542,0.052423,topk_mean,3,colpali,0.565019,0.58924,0.515899,0.412115,0.289,0.554995,0.570068,0.80448,0.460565,0.559105,0.550065,0.646107,0.525687,0.61775,0.54183,0.797499,0.3,520.6345,492.8866,453.3522,453.6232,346.2897,491.1884,487.8978,609.5538,434.2832,480.1162,475.2195,525.8132,508.4182,511.8808,466.479,605.074,230.4047,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.635157,0.32855,0.777574,0.3,0.059364,0.060819,0.056518,0.050946,0.045045,0.058771,0.059664,0.075425,0.053476,0.059013,0.058482,0.064378,0.057074,0.062578,0.058003,0.0749,0.045543
6,fused,giay_rut_tien,start,giay_rut_tien,giay_rut_tien,blank,giay_rut_tien,vlm,vlm_blank_characteristic,0,True,blank,0.800712,giay_rut_tien,0.72734,0.073372,0.146536,0.60962,topk_mean,3,colpali,0.551841,0.563147,0.48601,0.378616,0.315006,0.443947,0.480513,0.538589,0.508252,0.538723,0.526799,0.800712,0.543058,0.72734,0.545216,0.547511,0.3,561.9346,522.853,476.0683,474.1739,389.6924,469.1811,478.575,507.9849,501.8839,511.9671,504.7023,669.9872,566.8057,626.8877,511.1086,512.6349,243.4906,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.780622,0.311815,0.473986,0.3,0.060441,0.061128,0.05659,0.050827,0.047695,0.054259,0.05628,0.059645,0.057863,0.059653,0.058946,0.07752,0.059912,0.072036,0.060042,0.06018,0.046985
7,fused,blank,end,giay_de_nghi_tiep_quy,blank,blank,blank,vlm,vlm_blank_characteristic,0,True,blank,0.815432,blank,0.80448,0.010952,0.013431,0.051199,topk_mean,3,colpali,0.401269,0.79879,0.310344,0.0,0.542184,0.683923,0.402439,0.80448,0.470745,0.474574,0.61207,0.580661,0.216941,0.545213,0.594444,0.741445,0.815432,394.1838,430.3321,375.5498,352.4225,404.8521,420.9314,386.9649,430.9881,395.8119,394.6792,410.1112,406.2904,375.3787,402.6074,407.246,423.7685,410.2728,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.712815,0.0,0.777574,0.770415,0.05065,0.075373,0.046247,0.033908,0.058314,0.067194,0.050709,0.075803,0.054294,0.054502,0.062535,0.060602,0.042123,0.058491,0.061443,0.071173,0.076638
8,fused,giay_de_nghi_tiep_quy,start,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,blank,giay_de_nghi_tiep_quy,vlm,vlm_blank_characteristic,0,True,blank,0.80448,giay_de_nghi_tiep_quy,0.77342,0.03106,0.056227,0.233706,topk_mean,3,colpali,0.449755,0.519822,0.494085,0.391031,0.252082,0.444691,0.434483,0.80448,0.472785,0.509158,0.50523,0.546612,0.431514,0.542248,0.464798,0.77342,0.3,506.0002,502.4987,485.989,486.7896,347.6158,473.8697,453.4766,687.7285,485.2272,499.8285,497.2736,522.4734,505.0486,521.3489,465.8395,666.6895,232.4812,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.780622,0.320947,0.472125,0.3,0.055968,0.06003,0.058505,0.052776,0.045929,0.055685,0.055119,0.079798,0.057272,0.059393,0.05916,0.06166,0.054956,0.061391,0.056816,0.077358,0.048184
9,fused,giay_de_nghi_tiep_quy,end,giay_de_nghi_tiep_quy,giay_de_nghi_tiep_quy,blank,giay_de_nghi_tiep_quy,vlm,vlm_blank_characteristic,0,True,blank,0.80448,giay_de_nghi_tiep_quy,0.795482,0.008998,0.017188,0.068235,topk_mean,3,colpali,0.502006,0.573514,0.498388,0.396669,0.280978,0.492946,0.511317,0.80448,0.461126,0.533271,0.530866,0.57737,0.453139,0.566083,0.524598,0.795482,0.3,549.2214,546.816,501.1975,502.7629,386.3963,516.643,514.9483,687.8194,490.7448,526.2655,524.7983,551.5627,529.6447,546.2834,516.1531,681.5428,260.7624,5.4523,6.9812,6.9741,4.861,6.3817,6.3508,6.7794,6.9781,6.5662,6.8483,6.8483,6.9017,5.1124,6.8483,7.0085,7.0042,10.94,0.631926,0.306068,0.777574,0.3,0.05739,0.061644,0.057183,0.051653,0.04601,0.056873,0.057927,0.077661,0.055092,0.059213,0.059071,0.061883,0.054653,0.061188,0.058702,0.076965,0.046893
